sampleID;class
A_060223_002;blanks
A_060223_003;blanks
A_060223_004;blanks
A_060223_005;blanks
A_060223_SHB22;blanks
A_062923_003;blanks
A_062923_004;blanks
A_062923_005;blanks
A_062923_006;blanks
A_062923_007;blanks
Q_102623_012;blanks
Q_102623_But1;blanks
Q_102623_But2;blanks
Q_102623_But3;blanks
Q_102623_But4;blanks
Q_102623_But5;blanks
A_060223_SHB1;high
A_060223_SHB10;high
A_060223_SHB11;high
A_060223_SHB12;high
A_060223_SHB13;high
A_060223_SHB16;high
A_060223_SHB17;high
A_060223_SHB21;high
A_060223_SHB23;high
A_060223_SHB24;high
A_060223_SHB4;high
A_060223_SHB8;high
A_062923_SHB1;high
A_062923_SHB10;high
A_062923_SHB12;high
A_062923_SHB5;high
A_062923_SHB7;high
A_20210825_001;high
A_20210825_004;high
A_20210825_011;high
A_20210825_014;high
A_20210825_016;high
A_20220308_009;high
A_20220308_010;high
A_20220308_012;high
A_20220308_018;high
Q_102623_004;high
Q_102623_005;high
Q_102623_009;high
Q_102623_010;high
Q_102623_017;high
A_060223_SHB14;low
A_060223_SHB18;low
A_060223_SHB5;low
A_060223_SHB6;low
A_060223_SHB7;low
A_060223_SHB9;low
A_062923_SHB11;low
A_062923_SHB16;low
A_062923_SHB18;low
A_062923_SHB19;low
A_062923_SHB21;low
A_062923_SHB3;low
A_062923_SHB4;low
A_062923_SHB6;low
A_20210825_002;low
A_20210825_012;low
A_20210825_017;low
A_20220308_004;low
A_20220308_006;low
A_20220308_011;low
A_20220308_014;low
A_20220308_015;low
A_20220308_016;low
Q_102623_001;low
Q_102623_002;low
Q_102623_006;low
Q_102623_008;low
Q_102623_011;low
Q_102623_014;low
Q_102623_015;low
Q_102623_016;low
Q_102623_018;low
Q_102623_021;low
Q_102623_022;low
Q_102623_027;low
A_060223_SHB15;medium
A_060223_SHB19;medium
A_060223_SHB2;medium
A_060223_SHB20;medium
A_060223_SHB3;medium
A_062923_SHB13;medium
A_062923_SHB14;medium
A_062923_SHB15;medium
A_062923_SHB17;medium
A_062923_SHB2;medium
A_062923_SHB20;medium
A_062923_SHB22;medium
A_062923_SHB8;medium
A_062923_SHB9;medium
A_20210825_013;medium
A_20210825_015;medium
A_20210825_018;medium
A_20220308_005;medium
A_20220308_007;medium
A_20220308_008;medium
A_20220308_013;medium
A_20220308_017;medium
Q_102623_003;medium
Q_102623_007;medium
Q_102623_013;medium
Q_102623_019;medium
Q_102623_020;medium
Q_102623_023;medium
Q_102623_024;medium
A_20210825_019;standard
A_20220308_003;standard
Q_102623_025;standard
Q_102623_026;standard
